geneID	geneSymb	ORF	SGD_id
gene1939	ZWF1	YNL241C	S000005185
gene194	COX10	YPL172C	S000006093
gene1940	MCH4	YOL119C	S000005479
gene1945	ECM4	YKR076W	S000001784
gene195	RPN8	YOR261C	S000005787
gene1951	SHE4	YOR035C	S000005561
gene1952	YNG2	YHR090C	S000001132
gene1954	CNE1	YAL058W	S000000054
gene1955	EMI5	NA	NA
gene1956	CDC37	YDR168W	S000002575
gene1957	HSP78	YDR258C	S000002666
gene1959	MGR1	YCL044C	S000000549
gene1960	EMC1	YCL045C	S000000550
gene1962	AKR1	YDR264C	S000002672
gene1963	PEP7	YDR323C	S000002731
gene1964	PUT3	YKL015W	S000001498
gene1965	SGT1	YOR057W	S000005583
gene1967	ZTA1	YBR046C	S000000250
gene1972	YOR223W	YOR223W	S000005749
gene1974	GSF2	YML048W	S000004511
gene1977	RAV1	YJR033C	S000003794
gene1978	MES1	YGR264C	S000003496
gene1979	BUD32	YGR262C	S000003494
gene1982	SPT4	YGR063C	S000003295
gene1983	MUP1	YGR055W	S000003287
gene1985	ECL1	YGR146C	S000003378
gene1986	RSP5	YER125W	S000000927
gene1987	DSE1	YER124C	S000000926
gene1988	EAF3	YPR023C	S000006227
gene1989	YCK1	YHR135C	S000001177
gene199	YOR262W	YOR262W	S000005788
gene1990	STR3	YGL184C	S000003152
gene1992	YGL185C	NA	NA
gene1993	COX4	YGL187C	S000003155
gene1994	RPS26A	YGL189C	S000003157
gene1995	CDC55	YGL190C	S000003158
gene1996	COX13	YGL191W	S000003159
gene1997	IME4	YGL192W	S000003160
gene1998	YGL010W	YGL010W	S000002978
gene1999	SLA1	YBL007C	S000000103
gene200	BUD27	YFL023W	S000001871
gene2000	BRN1	YBL097W	S000000193
gene2001	LEU1	YGL009C	S000002977
gene2002	CUL3	YGR003W	S000003235
gene2003	SWC4	YGR002C	S000003234
gene2004	MMS22	YLR320W	S000004312
gene2005	BUD6	YLR319C	S000004311
gene2006	EST2	YLR318W	S000004310
gene2009	SFH1	YLR321C	S000004313
gene2010	EFB1	YAL003W	S000000003
gene2012	MTG2	YHR168W	S000001211
gene2013	SPC97	YHR172W	S000001215
gene2016	NMD3	YHR170W	S000001213
gene2020	MRPS28	YDR337W	S000002745
gene2021	YDR319C	YDR319C	S000002727
gene2022	MCM21	YDR318W	S000002726
gene2023	RMP1	YLR145W	S000004135
gene2024	TAD2	YJL035C	S000003572
gene2025	SNX4	YJL036W	S000003573
gene2027	ERG7	YHR072W	S000001114
gene2029	BRF1	YGR246C	S000003478
gene2030	POL31	YJR006W	S000003766
gene2031	MSM1	YGR171C	S000003403
gene2032	YIP1	YGR172C	S000003404
gene2034	BRE2	YLR015W	S000004005
gene2035	HER2	YMR293C	S000004907
gene2036	YTA7	YGR270W	S000003502
gene2037	PFK1	YGR240C	S000003472
gene204	SEC61	YLR378C	S000004370
gene2041	PPZ1	YML016C	S000004478
gene2042	HOL1	YNR055C	S000005338
gene2043	YEH2	YLR020C	S000004010
gene2046	IZH3	YLR023C	S000004013
gene2047	YIM1	YMR152W	S000004760
gene2048	YLR001C	NA	NA
gene2049	SGN1	YIR001C	S000001440
gene205	YDL177C	NA	NA
gene2050	LEU4	YNL104C	S000005048
gene2051	MFM1	YPL060W	S000005981
gene2052	BUB1	YGR188C	S000003420
gene2053	GPI16	YHR188C	S000001231
gene2054	HSH155	YMR288W	S000004901
gene2055	YIA6	YIL006W	S000001268
gene2056	EPS1	YIL005W	S000001267
gene2057	ADI1	YMR009W	S000004611
gene2058	WBP1	YEL002C	S000000728
gene2059	INP51	YIL002C	S000001264
gene2060	YIL001W	NA	NA
gene2061	IRC22	YEL001C	S000000727
gene2062	FTH1	YBR207W	S000000411
gene2064	HTA1	YDR225W	S000002633
gene2065	SWD3	YBR175W	S000000379
gene2066	UMP1	YBR173C	S000000377
gene2067	SMY2	YBR172C	S000000376
gene2068	SEC66	YBR171W	S000000375
gene2069	VPS66	NA	NA
gene207	YNL040W	NA	NA
gene2072	FCP1	YMR277W	S000004890
gene2073	TAF8	YML114C	S000004582
gene2074	DSK2	YMR276W	S000004889
gene2075	OCT1	YKL134C	S000001617
gene2077	TDH3	YGR192C	S000003424
gene2078	PIF1	YML061C	S000004526
gene2079	SEC39	YLR440C	S000004432
gene208	YBR138C	NA	NA
gene2081	MRPL4	YLR439W	S000004431
gene2084	YLR278C	NA	NA
gene2085	HRI1	YLR301W	S000004292
gene2087	SEC72	YLR292C	S000004283
gene2088	GSP2	YOR185C	S000005711
gene209	VBA1	YMR088C	S000004694
gene2090	ALD2	YMR170C	S000004780
gene2091	EXG1	YLR300W	S000004291
gene2092	CUS1	YMR240C	S000004853
gene2094	SLY41	YOR307C	S000005834
gene2096	KOG1	YHR186C	S000001229
gene2097	PRK1	YIL095W	S000001357
gene2098	YGR235C	YGR235C	S000003467
gene21	PHM7	YOL084W	S000005444
gene210	CIA1	YDR267C	S000002675
gene2100	MTM1	YGR257C	S000003489
gene2101	SKG1	YKR100C	S000001808
gene2102	OMA1	YKR087C	S000001795
gene2103	RTS2	YOR077W	S000005603
gene2104	TGL4	YKR089C	S000001797
gene2105	CTK1	YKL139W	S000001622
gene2107	CNS1	YBR155W	S000000359
gene2108	HUL4	YJR036C	S000003797
gene2109	RIP1	YEL024W	S000000750
gene211	CYC2	YOR037W	S000005563
gene2110	YEL023C	NA	NA
gene2112	GEF1	YJR040W	S000003801
gene2113	ADH2	YMR303C	S000004918
gene2116	TRS20	YBR254C	S000000458
gene2117	MTC4	YBR255W	S000000459
gene2118	DUT1	YBR252W	S000000456
gene212	PEP12	YOR036W	S000005562
gene2120	MDM38	YOL027C	S000005387
gene2121	RPS14A	YCR031C	S000000627
gene2123	YIP3	YNL044W	S000004989
gene2125	RPL40B	YKR094C	S000001802
gene2126	LAP2	YNL045W	S000004990
gene2128	ITR2	YOL103W	S000005463
gene2129	ITR1	YDR497C	S000002905
gene2131	DSF2	YBR007C	S000000211
gene2132	SOK1	YDR006C	S000002413
gene2133	FAP7	YDL166C	S000002325
gene2134	CDC36	YDL165W	S000002324
gene2135	APL3	YBL037W	S000000133
gene2136	YBL036C	NA	NA
gene2137	SEC59	YMR013C	S000004615
gene2139	LHP1	YDL051W	S000002209
gene2140	POL12	YBL035C	S000000131
gene2141	IST2	YBR086C	S000000290
gene2143	YOL114C	YOL114C	S000005474
gene2144	PEX11	YOL147C	S000005507
gene2145	PSF3	YOL146W	S000005506
gene2147	GIS1	YDR096W	S000002503
gene2148	ALD4	YOR374W	S000005901
gene215	DYS1	YHR068W	S000001110
gene2150	MBP1	YDL056W	S000002214
gene2151	YDL057W	NA	NA
gene2153	WAR1	YML076C	S000004541
gene2154	PRI2	YKL045W	S000001528
gene2157	PEX29	YDR479C	S000002887
gene2158	BUB3	YOR026W	S000005552
gene2160	YMC2	YBR104W	S000000308
gene2161	RKM4	YDR257C	S000002665
gene2162	STI1	YOR027W	S000005553
gene2163	YOR019W	NA	NA
gene2164	SNF1	YDR477W	S000002885
gene2165	BUD22	YMR014W	S000004616
gene2166	OAR1	YKL055C	S000001538
gene2179	HEM4	YOR278W	S000005804
gene2181	PUF3	YLL013C	S000003936
gene2183	APL4	YPR029C	S000006233
gene2184	YOP1	YPR028W	S000006232
gene2187	PAN3	YKL025C	S000001508
gene2188	IRC24	YIR036C	S000001475
gene2189	URA6	YKL024C	S000001507
gene219	ECM21	YBL101C	S000000197
gene2191	TES1	YJR019C	S000003780
gene2194	MET22	YOL064C	S000005425
gene2195	BEM1	YBR200W	S000000404
gene2196	ALG6	YOR002W	S000005528
gene2199	AIM27	NA	NA
gene22	IPP1	YBR011C	S000000215
gene220	MBA1	YBR185C	S000000389
gene2200	ADD66	YKL206C	S000001689
gene2201	LIA1	YJR070C	S000003831
gene2202	RPA12	YJR063W	S000003824
gene2203	CCT5	YJR064W	S000003825
gene2204	ARP3	YJR065C	S000003826
gene2205	TOR2	YKL203C	S000001686
gene2209	MPP10	YJR002W	S000003762
gene221	SUR1	YPL057C	S000005978
gene2211	PPS1	YBR276C	S000000480
gene2212	UBA4	YHR111W	S000001153
gene2213	ERP5	YHR110W	S000001152
gene2214	UTP18	YJL069C	S000003605
gene2215	YJR054W	YJR054W	S000003815
gene2218	MMS2	YGL087C	S000003055
gene2219	SOM1	YEL059C-A	S000002954
gene222	GYP1	YOR070C	S000005596
gene2220	ORC4	YPR162C	S000006366
gene2221	YLR456W	NA	NA
gene2222	VPS4	YPR173C	S000006377
gene2223	YJR096W	NA	NA
gene2224	PEP3	YLR148W	S000004138
gene2225	YMR253C	NA	NA
gene2226	DPH5	YLR172C	S000004162
gene2229	ILV6	YCL009C	S000000515
gene223	MTD1	YKR080W	S000001788
gene2230	IDP2	YLR174W	S000004164
gene2231	YLR253W	YLR253W	S000004243
gene2232	HAP1	YLR256W	S000004246
gene2233	YDR026C	YDR026C	S000002433
gene2235	TUS1	YLR425W	S000004417
gene2237	TAF12	YDR145W	S000002552
gene2238	TDA5	YLR426W	S000004418
gene2239	SPC2	YML055W	S000004519
gene2240	MAG2	YLR427W	S000004419
gene2241	CRN1	YLR429W	S000004421
gene2242	SEN1	YLR430W	S000004422
gene2243	URA4	YLR420W	S000004412
gene2244	DPH2	YKL191W	S000001674
gene2245	CNB1	YKL190W	S000001673
gene2247	RPN13	YLR421C	S000004413
gene2249	YLR422W	YLR422W	S000004414
gene225	SAC3	YDR159W	S000002566
gene2251	SDS22	YKL193C	S000001676
gene2253	SPP41	YDR464W	S000002872
gene2254	YLR419W	NA	NA
gene2257	DCN1	YLR128W	S000004118
gene2258	DIP2	YLR129W	S000004119
gene226	MTC5	YDR128W	S000002535
gene2260	SNF4	YGL115W	S000003083
gene2261	YGL114W	NA	NA
gene2263	YNL134C	NA	NA
gene2264	SNG1	YGR197C	S000003429
gene2265	POL5	YEL055C	S000000781
gene2266	MDL2	YPL270W	S000006191
gene2267	KAR9	YPL269W	S000006190
gene2268	DIM1	YPL266W	S000006187
gene2269	KEL3	YPL263C	S000006184
gene227	CDC20	YGL116W	S000003084
gene2270	LOS1	YKL205W	S000001688
gene2272	RFC2	YJR068W	S000003829
gene2274	MRPL27	YBR282W	S000000486
gene2277	YPL088W	NA	NA
gene2279	PEP1	YBL017C	S000000113
gene2282	YCG1	YDR325W	S000002733
gene2283	ERG27	YLR100W	S000004090
gene2284	FUS3	YBL016W	S000000112
gene2285	RAD26	YJR035W	S000003796
gene2286	PAC2	YER007W	S000000809
gene2287	SAC6	YDR129C	S000002536
gene2289	EMP24	YGL200C	S000003168
gene229	GAS1	YMR307W	S000004924
gene2290	GLC7	YER133W	S000000935
gene2296	SAK1	YER129W	S000000931
gene2297	HBN1	YCL026C-B	S000007548
gene2298	ATG1	YGL180W	S000003148
gene23	TRP1	YDR007W	S000002414
gene2300	RTT107	YHR154W	S000001197
gene2301	SEC17	YBL050W	S000000146
gene2303	PSP2	YML017W	S000004479
gene2305	GAR1	YHR089C	S000001131
gene2309	EDE1	YBL047C	S000000143
gene2311	CCE1	YKL011C	S000001494
gene2313	UTP7	YER082C	S000000884
gene2314	RPN2	YIL075C	S000001337
gene2315	SER3	YER081W	S000000883
gene2318	ADE17	YMR120C	S000004727
gene2319	FKS1	YLR342W	S000004334
gene2320	STO1	YMR125W	S000004732
gene2321	YMR124W	YMR124W	S000004731
gene2323	CDC4	YFL009W	S000001885
gene2324	WWM1	YFL010C	S000001884
gene2326	VTC2	YFL004W	S000001890
gene2328	MIA40	YKL195W	S000001678
gene2330	ATG17	YLR423C	S000004415
gene2331	MST1	YKL194C	S000001677
gene2332	CDC73	YLR418C	S000004410
gene2333	MDM31	YHR194W	S000001237
gene2336	NMD5	YJR132W	S000003893
gene2338	TRP5	YGL026C	S000002994
gene2339	UTP9	YHR196W	S000001239
gene234	RTN1	YDR233C	S000002641
gene2342	MRPS17	YMR188C	S000004800
gene2343	HIS5	YIL116W	S000001378
gene2345	NSL1	YPL233W	S000006154
gene2346	VMA11	YPL234C	S000006155
gene2347	RVB2	YPL235W	S000006156
gene2348	YPL236C	YPL236C	S000006157
gene2350	MDJ2	YNL328C	S000005272
gene2351	HUT1	YPL244C	S000006165
gene2353	LRO1	YNR008W	S000005291
gene2354	RIX1	YHR197W	S000001240
gene2355	PIS1	YPR113W	S000006317
gene2356	APC5	YOR249C	S000005775
gene2357	REV3	YPL167C	S000006088
gene2359	TUM1	YOR251C	S000005777
gene236	PEP5	YMR231W	S000004844
gene2360	BST1	YFL025C	S000001869
gene2361	AXL2	YIL140W	S000001402
gene2364	YGL159W	NA	NA
gene2365	RRG7	YOR305W	S000005832
gene2367	SSY5	YJL156C	S000003692
gene2369	SKI2	YLR398C	S000004390
gene237	HOG1	YLR113W	S000004103
gene2371	AFG2	YLR397C	S000004389
gene2375	PEX19	YDL065C	S000002223
gene2376	HEM1	YDR232W	S000002640
gene2378	YMR034C	YMR034C	S000004637
gene2379	ARP9	YMR033W	S000004636
gene2382	MSN4	YKL062W	S000001545
gene2383	NNF1	YJR112W	S000003873
gene2384	NSA1	YGL111W	S000003079
gene2385	CUE3	YGL110C	S000003078
gene2388	RPL28	YGL103W	S000003071
gene2389	YBR241C	NA	NA
gene239	MUK1	YPL070W	S000005991
gene2391	DOM34	YNL001W	S000004946
gene2392	ARC1	YGL105W	S000003073
gene2393	ERT1	YBR239C	S000000443
gene2394	MLC1	YGL106W	S000003074
gene2395	RRT2	YBR246W	S000000450
gene2397	RIB1	YBL033C	S000000129
gene2399	YMR262W	NA	NA
gene24	RFC4	YOL094C	S000005454
gene2400	TPS3	YMR261C	S000004874
gene2402	TIF11	YMR260C	S000004873
gene2404	YMR259C	YMR259C	S000004872
gene2405	DYN1	YKR054C	S000001762
gene2406	ROY1	YMR258C	S000004871
gene2407	PSH1	YOL054W	S000005415
gene2410	DAL2	YIR029W	S000001468
gene2411	YGR127W	NA	NA
gene2412	STR2	YJR130C	S000003891
gene2413	MNS1	YJR131W	S000003892
gene2416	CTF8	YHR191C	S000001234
gene242	INP54	YOL065C	S000005426
gene2421	CAT8	YMR280C	S000004893
gene2422	CMD1	YBR109C	S000000313
gene2423	ALG1	YBR110W	S000000314
gene2424	SPE3	YPR069C	S000006273
gene2425	YSA1	YBR111C	S000000315
gene2426	CYC8	YBR112C	S000000316
gene2427	MED1	YPR070W	S000006274
gene2428	COQ5	YML110C	S000004578
gene243	RER1	YCL001W	S000000507
gene2430	FLC2	YAL053W	S000000049
gene2431	ACS1	YAL054C	S000000050
gene2434	URK1	YNR012W	S000005295
gene2436	PGM3	NA	NA
gene2437	VAN1	YML115C	S000004583
gene2438	EMP70	YLR083C	S000004073
gene2439	TRS85	YDR108W	S000002515
gene244	PSE1	YMR308C	S000004925
gene2443	PUS9	YDL036C	S000002194
gene2444	ROT2	YBR229C	S000000433
gene2445	CTR2	YHR175W	S000001218
gene2446	RPS17B	YDR447C	S000002855
gene2448	UTP6	YDR449C	S000002857
gene2449	PSP1	YDR505C	S000002913
gene245	PGS1	YCL004W	S000000510
gene2450	YML6	YML025C	S000004487
gene2451	RPS18B	YML026C	S000004488
gene2452	YOX1	YML027W	S000004489
gene2453	FAA1	YOR317W	S000005844
gene2454	CLD1	YGR110W	S000003342
gene2455	FET3	YMR058W	S000004662
gene2456	APM3	YBR288C	S000000492
gene2457	VPS17	YOR132W	S000005658
gene246	RIB2	YOL066C	S000005427
gene2461	TMS1	YDR105C	S000002512
gene2462	TGL2	YDR058C	S000002465
gene2463	SIP3	YNL257C	S000005201
gene2464	MRPL17	YNL252C	S000005196
gene2465	ERV46	YAL042W	S000000040
gene2466	RAD3	YER171W	S000000973
gene2467	YJR141W	YJR141W	S000003902
gene2468	HIR3	YJR140C	S000003901
gene247	FAD1	YDL045C	S000002203
gene2470	PRR1	YKL116C	S000001599
gene2471	YJR098C	NA	NA
gene2475	PRP39	YML046W	S000004509
gene2476	RAD7	YJR052W	S000003813
gene2477	BFA1	YJR053W	S000003814
gene2478	YBR053C	NA	NA
gene2479	HIT1	YJR055W	S000003816
gene2482	GDB1	YPR184W	S000006388
gene2483	SKI3	YPR189W	S000006393
gene2487	ATG13	YPR185W	S000006389
gene2488	RPC82	YPR190C	S000006394
gene2489	QCR2	YPR191W	S000006395
gene249	NUF2	YOL069W	S000005430
gene2491	GAB1	YLR459W	S000004451
gene2492	HDA3	YPR179C	S000006383
gene2494	AOS1	YPR180W	S000006384
gene2495	PRP4	YPR178W	S000006382
gene2496	OXP1	YKL215C	S000001698
gene2499	ISN1	YOR155C	S000005681
gene25	VPS52	YDR484W	S000002892
gene2500	VTC4	YJL012C	S000003549
gene2504	SMC4	YLR086W	S000004076
gene2505	APL6	YGR261C	S000003493
gene2506	SSD1	YDR293C	S000002701
gene2507	PAM18	YLR008C	S000003998
gene2508	RLP24	YLR009W	S000003999
gene2512	PPR1	YLR014C	S000004004
gene2513	PUT2	YHR037W	S000001079
gene2514	MEF1	YLR069C	S000004059
gene2515	CHA1	YCL064C	S000000569
gene2516	LSC2	YGR244C	S000003476
gene2519	YAP1801	YHR161C	S000001204
gene252	FAR1	YJL157C	S000003693
gene2521	CDH1	YGL003C	S000002971
gene2522	CCT3	YJL014W	S000003551
gene2523	PCT1	YGR202C	S000003434
gene2524	JIP5	YPR169W	S000006373
gene2526	RIM9	YMR063W	S000004667
gene2527	YGR237C	NA	NA
gene2530	OCA2	YNL056W	S000005001
gene2531	POR1	YNL055C	S000005000
gene2532	MEP1	YGR121C	S000003353
gene2534	RPA190	YOR341W	S000005868
gene2535	NUP145	YGL092W	S000003060
gene2536	NBP35	YGL091C	S000003059
gene2537	ISW1	YBR245C	S000000449
gene2538	HYR1	YIR037W	S000001476
gene2539	ESS1	YJR017C	S000003778
gene254	LUC7	YDL087C	S000002245
gene2540	APE2	YKL157W	S000001640
gene2541	NOP2	YNL061W	S000005005
gene2544	EAF7	YNL136W	S000005080
gene2545	FPR1	YNL135C	S000005079
gene2547	NCS2	YNL119W	S000005063
gene2549	TOM70	YNL121C	S000005065
gene255	IMP1	YMR150C	S000004758
gene2551	YNL122C	NA	NA
gene2552	NMA111	YNL123W	S000005067
gene2555	SET1	YHR119W	S000001161
gene2558	NDT80	YHR124W	S000001166
gene2559	KRE33	YNL132W	S000005076
gene256	SWP1	YMR149W	S000004757
gene2560	NRK1	YNL129W	S000005073
gene2561	YHR122W	YHR122W	S000001164
gene2563	TOM22	YNL131W	S000005075
gene2564	CRC1	YOR100C	S000005626
gene2565	SPC98	YNL126W	S000005070
gene2566	FAR11	YNL127W	S000005071
gene2567	LSM12	YHR121W	S000001163
gene2568	TEP1	YNL128W	S000005072
gene2571	POL1	YNL102W	S000005046
gene2574	RSR1	YGR152C	S000003384
gene2576	OST2	YOR103C	S000005629
gene2577	OCA1	YNL099C	S000005043
gene2578	COX20	YDR231C	S000002639
gene2579	AVT4	YNL101W	S000005045
gene2581	RPN11	YFR004W	S000001900
gene2582	SAD1	YFR005C	S000001901
gene2583	MCM5	YLR274W	S000004264
gene2585	TAL1	YLR354C	S000004346
gene2586	YGR042W	YGR042W	S000003274
gene2587	AIM45	YPR004C	S000006208
gene2588	YFH7	YFR007W	S000001903
gene259	OCH1	YGL038C	S000003006
gene2591	AUR1	YKL004W	S000001487
gene2593	ARC40	YBR234C	S000000438
gene2594	YGR026W	NA	NA
gene2595	RPS25A	YGR027C	S000003259
gene2598	MDJ1	YFL016C	S000001878
gene260	RAP1	YNL216W	S000005160
gene2601	ABP1	YCR088W	S000000684
gene2602	YOR059C	YOR059C	S000005585
gene2603	ERG8	YMR220W	S000004833
gene2604	TYR1	YBR166C	S000000370
gene2605	ARL1	YBR164C	S000000368
gene2606	YPL109C	NA	NA
gene2607	GDE1	YPL110C	S000006031
gene2608	RDL2	YOR286W	S000005812
gene2609	YDR131C	NA	NA
gene261	YNL217W	NA	NA
gene2610	BNA1	YJR025C	S000003786
gene2611	STE13	YOR219C	S000005745
gene2612	RPB8	YOR224C	S000005750
gene2613	RAD28	YDR030C	S000002437
gene2615	SMC3	YJL074C	S000003610
gene2616	GCV1	YDR019C	S000002426
gene2617	YDR109C	NA	NA
gene2618	BUR6	YER159C	S000000961
gene2619	COQ6	YGR255C	S000003487
gene262	GYP7	YDL234C	S000002393
gene2620	FOL1	YNL256W	S000005200
gene2621	GIS2	YNL255C	S000005199
gene2622	RTC4	YNL254C	S000005198
gene2626	HSL7	YBR133C	S000000337
gene2627	TAF2	YCR042C	S000000638
gene2628	PDA1	YER178W	S000000980
gene2629	CYC3	YAL039C	S000000037
gene263	PAA1	YDR071C	S000002478
gene2631	CUE5	YOR042W	S000005568
gene2632	CYT2	YKL087C	S000001570
gene2635	CAR1	YPL111W	S000006032
gene2636	MGS1	YNL218W	S000005162
gene2637	HMO1	YDR174W	S000002581
gene264	MAG1	YER142C	S000000944
gene2640	RSM24	YDR175C	S000002582
gene2641	NGG1	YDR176W	S000002583
gene2643	SDH4	YDR178W	S000002585
gene2646	OGG1	YML060W	S000004525
gene2649	YKL027W	YKL027W	S000001510
gene265	DDI1	YER143W	S000000945
gene2650	SSU1	YPL092W	S000006013
gene2651	MRP13	YGR084C	S000003316
gene2652	GCD2	YGR083C	S000003315
gene2653	RTS1	YOR014W	S000005540
gene2654	SYM1	YLR251W	S000004241
gene2655	PXA2	YKL188C	S000001671
gene2656	RRD1	YIL153W	S000001415
gene2657	YJL171C	YJL171C	S000003707
gene2658	NUP192	YJL039C	S000003576
gene2660	POT1	YIL160C	S000001422
gene2661	VPS33	YLR396C	S000004388
gene2662	IKI3	YLR384C	S000004376
gene2663	SUB1	YMR039C	S000004642
gene2664	MNR2	YKL064W	S000001547
gene2665	HOF1	YMR032W	S000004635
gene2667	RPS20	YHL015W	S000001007
gene267	DOS2	YDR068W	S000002475
gene2670	MGT1	YDL200C	S000002359
gene2674	YDC1	YPL087W	S000006008
gene2675	SGF11	YPL047W	S000005968
gene2676	SEN54	YPL083C	S000006004
gene2677	MTG1	YMR097C	S000004703
gene2678	ASP3-4	YLR160C	S000004150
gene2679	CKB2	YOR039W	S000005565
gene268	DOA4	YDR069C	S000002476
gene2680	HIR2	YOR038C	S000005564
gene2682	YPT35	YHR105W	S000001147
gene2683	TRR1	YDR353W	S000002761
gene2684	CRM1	YGR218W	S000003450
gene2686	IMP3	YHR148W	S000001191
gene2687	MRPL6	YHR147C	S000001190
gene2688	MRPL9	YGR220C	S000003452
gene269	SLS1	YLR139C	S000004129
gene2691	THS1	YIL078W	S000001340
gene2692	YIL077C	NA	NA
gene2695	PPM1	YDR435C	S000002843
gene2697	AXL1	YPR122W	S000006326
gene2699	HMG1	YML075C	S000004540
gene27	HMT1	YBR034C	S000000238
gene270	CPR1	YDR155C	S000002562
gene2700	FPR3	YML074C	S000004539
gene2702	COG8	YML071C	S000004536
gene2703	VMA6	YLR447C	S000004439
gene2707	MSS51	YLR203C	S000004193
gene2708	USA1	YML029W	S000004491
gene2709	TSA1	YML028W	S000004490
gene271	ENT5	YDR153C	S000002560
gene2710	GUK1	YDR454C	S000002862
gene2711	PTH2	YBL057C	S000000153
gene2713	PTC2	YER089C	S000000891
gene2714	YBL055C	NA	NA
gene2716	TOD6	YBL054W	S000000150
gene2717	SAS3	YBL052C	S000000148
gene2718	TRM12	YML005W	S000004464
gene2719	PIN4	YBL051C	S000000147
gene272	GIR2	YDR152W	S000002559
gene2720	AIM10	YER087W	S000000889
gene2722	PEX13	YLR191W	S000004181
gene2725	SAM50	YNL026W	S000004971
gene2726	CAB2	YIL083C	S000001345
gene2727	UBP1	YDL122W	S000002280
gene2729	CRZ1	YNL027W	S000004972
gene273	YDR161W	YDR161W	S000002568
gene2730	SDS3	YIL084C	S000001346
gene2731	KTR5	YNL029C	S000004974
gene2735	SIW14	YNL032W	S000004977
gene2736	UTP25	YIL091C	S000001353
gene2737	ICE2	YIL090W	S000001352
gene2738	SSN8	YNL025C	S000004970
gene2739	LAC1	YKL008C	S000001491
gene274	NBP2	YDR162C	S000002569
gene2742	GPI15	YNL038W	S000004983
gene2743	BDP1	YNL039W	S000004984
gene2744	YNL035C	NA	NA
gene2745	CWC2	YDL209C	S000002368
gene2746	PRP28	YDR243C	S000002651
gene2747	PEX5	YDR244W	S000002652
gene2748	MNN10	YDR245W	S000002653
gene2749	SWI1	YPL016W	S000005937
gene275	CWC15	YDR163W	S000002570
gene2750	RAD1	YPL022W	S000005943
gene2752	RMI1	YPL024W	S000005945
gene2753	TRS23	YDR246W	S000002654
gene2754	VHS1	YDR247W	S000002655
gene2757	SHB17	YKR043C	S000001751
gene276	PUT1	YLR142W	S000004132
gene2760	APM4	YOL062C	S000005423
gene2761	PRS5	YOL061W	S000005422
gene2762	RTK1	YDL025C	S000002183
gene2764	MAM3	YOL060C	S000005421
gene2765	NAP1	YKR048C	S000001756
gene2767	RSM25	YIL093C	S000001355
gene2768	FAP1	YNL023C	S000004968
gene2769	LYS12	YIL094C	S000001356
gene2770	YNL022C	YNL022C	S000004967
gene2771	JHD2	YJR119C	S000003880
gene2772	ATP2	YJR121W	S000003882
gene2773	STE24	YJR117W	S000003878
gene2774	SRB4	YER022W	S000000824
gene2775	YDL144C	NA	NA
gene2776	ADO1	YJR105W	S000003866
gene2777	TDA4	YJR116W	S000003877
gene2778	AVT6	YER119C	S000000921
gene2779	MRP21	YBL090W	S000000186
gene278	YRB30	YGL164C	S000003132
gene2780	MAP2	YBL091C	S000000187
gene2781	SCS2	YER120W	S000000922
gene2782	LCL2	YLR104W	S000004094
gene2783	SEN2	YLR105C	S000004095
gene2784	STB1	YNL309W	S000005253
gene2785	PDC2	YDR081C	S000002488
gene2786	RFX1	YLR176C	S000004166
gene2787	SET6	YPL165C	S000006086
gene2789	LST8	YNL006W	S000004951
gene279	DEG1	YFL001W	S000001895
gene2790	CBF5	YLR175W	S000004165
gene2794	MET13	YGL125W	S000003093
gene2795	BUD31	YCR063W	S000000659
gene2796	TRK2	YKR050W	S000001758
gene2797	URA2	YJL130C	S000003666
gene2798	SPT10	YJL127C	S000003663
gene2801	PTH1	YHR189W	S000001232
gene2802	CYS4	YGR155W	S000003387
gene2804	DST1	YGL043W	S000003011
gene2805	RNA15	YGL044C	S000003012
gene2806	PTI1	YGR156W	S000003388
gene2807	SEC9	YGR009C	S000003241
gene2809	CTA1	YDR256C	S000002664
gene281	SPB4	YFL002C	S000001894
gene2810	LCP5	YER127W	S000000929
gene2811	NSA2	YER126C	S000000928
gene2812	STH1	YIL126W	S000001388
gene2813	CCP1	YKR066C	S000001774
gene2814	PAM17	YKR065C	S000001773
gene2815	MNN11	YJL183W	S000003719
gene2818	IBA57	YJR122W	S000003883
gene2819	GON7	YJL184W	S000003720
gene282	YGR012W	YGR012W	S000003244
gene2821	ATP12	YJL180C	S000003716
gene2825	BOR1	YNL275W	S000005219
gene2826	PER1	YCR044C	S000000640
gene2827	INO1	YJL153C	S000003689
gene2829	GPD1	YDL022W	S000002180
gene2831	ATG27	YJL178C	S000003714
gene2832	RPL17B	YJL177W	S000003713
gene2835	UTP30	YKR060W	S000001768
gene2838	YAK1	YJL141C	S000003677
gene2839	TPO5	YKL174C	S000001657
gene284	SNU71	YGR013W	S000003245
gene2840	SNU114	YKL173W	S000001656
gene2841	EBP2	YKL172W	S000001655
gene2842	ULP1	YPL020C	S000005941
gene2843	YME2	YMR302C	S000004917
gene2844	BEM2	YER155C	S000000957
gene2845	CHS2	YBR038W	S000000242
gene2846	SEN34	YAR008W	S000000066
gene2847	YER156C	NA	NA
gene2848	TVP23	YDR084C	S000002491
gene2850	PUF4	YGL014W	S000002982
gene2851	YGR149W	YGR149W	S000003381
gene2852	ARF1	YDL192W	S000002351
gene2853	MRPS5	YBR251W	S000000455
gene2856	PHO8	YDR481C	S000002889
